Date,Close,Percent Change,50 MA,200 MA,EPS,EBIDTA,P/E,EV/EBITDA,1 YR,5 YR,30 YR,Recommendation,News,News Score
2023-06-30,193.97000122070312,0.023102510509079632,176.60540008544922,154.7732995223999,1.53,31260000000.0,126.77777857562296,100.25080233568812,0.08,0.85,2.04,Buy,POSITIVE,0.748120903968811
2023-06-29,189.58999633789062,0.0017965460390521049,176.07860015869142,154.57574954986572,1.53,31260000000.0,123.91503028620302,98.04771228276287,0.08,0.8,1.98,Buy,POSITIVE,0.748120903968811
2023-06-28,189.25,0.006327780797909854,175.61620025634767,154.4075996017456,1.53,31260000000.0,123.69281045751634,97.87669819257837,0.07,0.78,1.92,Buy,POSITIVE,0.9991217255592346
2023-06-27,188.05999755859375,0.015059066345298966,175.13580017089845,154.2339995956421,1.53,31260000000.0,122.9150310840482,97.27814120194428,0.08,0.79,1.93,Buy,POSITIVE,0.977651298046112
2023-06-26,185.27000427246094,-0.007552970101992296,174.6788003540039,154.07274959564208,1.53,31260000000.0,121.09150606043198,95.87480795897753,0.07,0.7,1.81,Sell,POSITIVE,0.6919465661048889
2023-06-23,186.67999267578125,-0.0017112691134693048,174.28460021972657,153.93619960784912,1.53,31260000000.0,122.01306710835375,96.58401525650464,0.08,0.69,1.88,Sell,POSITIVE,0.9942438006401062
2023-06-22,187.0,0.016525294494369236,173.75300048828126,153.78889965057374,1.53,31260000000.0,122.22222222222221,96.74497511196417,0.07,0.74,1.94,Buy,NEGATIVE,0.9977551102638244
2023-06-21,183.9600067138672,-0.0056753030870986265,173.2290005493164,153.64844966888427,1.53,31260000000.0,120.23529850579554,95.2158948600403,0.07,0.71,1.9,Sell,POSITIVE,0.748120903968811
2023-06-20,185.00999450683594,0.0004866771511018442,172.790400390625,153.535549659729,1.53,31260000000.0,120.92156503714767,95.74402615766958,0.07,0.72,1.92,Buy,POSITIVE,0.748120903968811
2023-06-16,184.9199981689453,-0.005859880490725833,172.38340057373046,153.42859966278075,1.53,31260000000.0,120.86274390127144,95.69875907644223,0.08,0.73,1.93,Sell,NEGATIVE,0.9873203039169312
2023-06-15,186.00999450683594,0.011198682211304156,171.96020050048827,153.35414966583252,1.53,31260000000.0,121.5751598083895,96.24701419349812,0.07,0.71,1.89,Buy,NEGATIVE,0.9198639392852784
2023-06-14,183.9499969482422,0.003491350161869189,171.55260070800782,153.26174968719482,1.53,31260000000.0,120.22875617532169,95.21086006768947,0.07,0.72,1.9,Buy,POSITIVE,0.748120903968811
2023-06-13,183.30999755859375,-0.002611653218746124,171.19700073242188,153.1781496810913,1.53,31260000000.0,119.8104559206495,94.88894803175874,0.08,0.73,1.91,Sell,POSITIVE,0.748120903968811
2023-06-12,183.7899932861328,0.015638740424785524,170.82880065917968,153.09944972991943,1.53,31260000000.0,120.12417861838746,95.13038013995971,0.07,0.69,1.89,Buy,POSITIVE,0.748120903968811
2023-06-09,180.9600067138672,0.002159823746078704,170.36840087890624,153.03809978485108,1.53,31260000000.0,118.27451419207006,93.70693075255468,0.07,0.66,1.86,Buy,POSITIVE,0.999625325202942
2023-06-08,180.57000732421875,0.01546507640721173,169.90220062255858,153.00404972076416,1.53,31260000000.0,118.01961263020833,93.5107657255811,0.07,0.65,1.85,Buy,NEGATIVE,0.9941054582595824
2023-06-07,177.82000732421875,-0.007756259904993845,169.45640045166016,152.97394969940186,1.53,31260000000.0,116.22222700929329,92.12754862705262,0.07,0.67,1.83,Sell,POSITIVE,0.995629072189331
2023-06-06,179.2100067138672,-0.002060335858196427,169.1050003051758,152.94999965667725,1.53,31260000000.0,117.13072334239685,92.82670168985474,0.08,0.72,1.86,Sell,POSITIVE,0.748120903968811
2023-06-05,179.5800018310547,-0.0075711253953729685,168.69940002441408,152.91989963531495,1.53,31260000000.0,117.37255021637561,93.01280480711503,0.09,0.77,1.94,Sell,POSITIVE,0.995923399925232
2023-06-02,180.9499969482422,0.004775393568990927,168.26440002441407,152.88249965667725,1.53,31260000000.0,118.2679718615962,93.70189596020386,0.08,0.79,1.96,Buy,POSITIVE,0.748120903968811
2023-06-01,180.08999633789062,0.016022546335066945,167.83100006103516,152.82019969940185,1.53,31260000000.0,117.70587995940564,93.26932594239179,0.08,0.82,1.99,Buy,POSITIVE,0.748120903968811
2023-05-31,177.25,-0.0002820251037627397,167.37720001220703,152.76594974517823,1.53,31260000000.0,115.84967320261438,91.84084176263596,0.08,0.81,1.99,Sell,POSITIVE,0.748120903968811
2023-05-30,177.3000030517578,0.010659581907596527,166.93220001220703,152.70429973602296,1.53,31260000000.0,115.88235493578942,91.86599269942506,0.09,0.83,2.03,Buy,POSITIVE,0.748120903968811
2023-05-26,175.42999267578125,0.014104787011603337,166.5032000732422,152.6421496963501,1.53,31260000000.0,114.66012593188317,90.92539985343362,0.08,0.79,1.94,Buy,POSITIVE,0.9834385514259338
2023-05-25,172.99000549316406,0.0066923253013353445,166.05440032958984,152.59174976348876,1.53,31260000000.0,113.06536306742748,89.6981154930022,0.08,0.75,1.92,Buy,POSITIVE,0.748120903968811
2023-05-24,171.83999633789062,0.00163207497832496,165.64640014648438,152.55584972381592,1.53,31260000000.0,112.31372309666054,89.11967464680639,0.07,0.77,1.92,Buy,POSITIVE,0.987733006477356
2023-05-23,171.55999755859375,-0.015154991021227304,165.21900024414063,152.52729976654052,1.53,31260000000.0,112.130717358558,88.97883861077347,0.07,0.79,1.91,Sell,NEGATIVE,0.9788044691085817
2023-05-22,174.1999969482422,-0.005480741572254533,164.75780029296874,152.46954975128173,1.53,31260000000.0,113.85620715571385,90.30672671836125,0.06,0.78,1.88,Sell,POSITIVE,0.748120903968811
2023-05-19,175.16000366210938,0.0006283953638037687,164.2856002807617,152.4060997390747,1.53,31260000000.0,114.4836625242545,90.78959860975152,0.06,0.8,1.87,Buy,POSITIVE,0.9889251589775084
2023-05-18,175.0500030517578,0.013666110237923634,163.8398001098633,152.34284969329835,1.53,31260000000.0,114.4117667004953,90.73426961881086,0.07,0.78,1.87,Buy,NEGATIVE,0.9657537937164308
2023-05-17,172.69000244140625,0.0036031562201266354,163.37080017089843,152.25434970855713,1.53,31260000000.0,112.869282641442,89.54721754725597,0.06,0.8,1.91,Buy,POSITIVE,0.9870604276657104
